,Learning rates,Number of leaf nodes,Number of trees,MSE
61,0.01,18.0,6.0,165949.17298877728
62,0.01,18.0,12.0,125233.18167931736
63,0.01,18.0,17.0,124634.7221527643
64,0.01,18.0,22.0,133503.2364495094
65,0.01,18.0,27.0,119873.64557810908
66,0.01,18.0,33.0,112993.70147989562
67,0.01,18.0,38.0,106736.27443624646
68,0.01,18.0,43.0,110945.54557691248
69,0.01,18.0,48.0,117231.97756983698
70,0.01,18.0,54.0,109644.40167119369
71,0.01,18.0,59.0,111242.57708765936
72,0.01,18.0,64.0,113945.68051178523
73,0.01,18.0,69.0,114186.28270825854
74,0.01,18.0,75.0,113861.5984194585
75,0.01,18.0,80.0,113855.11951480879
76,0.01,18.0,85.0,111862.32342339301
77,0.01,18.0,90.0,117345.1466314699
78,0.01,18.0,96.0,108589.8926896177
79,0.01,18.0,101.0,112514.16644502243
80,0.01,23.0,1.0,212046.235604011
81,0.01,23.0,6.0,118158.46270630161
82,0.01,23.0,12.0,89623.07190948885
83,0.01,23.0,17.0,111844.52294891009
84,0.01,23.0,22.0,108510.2709337399
85,0.01,23.0,27.0,104676.8580234605
86,0.01,23.0,33.0,98102.09142380688
87,0.01,23.0,38.0,95313.93580207459
88,0.01,23.0,43.0,104920.8168035017
89,0.01,23.0,48.0,96060.37084724041
90,0.01,23.0,54.0,102020.40234169197
91,0.01,23.0,59.0,98523.54800403169
92,0.01,23.0,64.0,97810.60238274893
93,0.01,23.0,69.0,97028.16531189853
94,0.01,23.0,75.0,97216.85941412345
95,0.01,23.0,80.0,100496.60601833914
96,0.01,23.0,85.0,94489.6008661268
97,0.01,23.0,90.0,93908.52818252204
98,0.01,23.0,96.0,96353.83344101308
99,0.01,23.0,101.0,94105.57968840956
100,0.01,28.0,1.0,128522.285612436
101,0.01,28.0,6.0,95689.0528078191
102,0.01,28.0,12.0,101244.17657004183
103,0.01,28.0,17.0,88895.71982985327
104,0.01,28.0,22.0,101505.98152130624
105,0.01,28.0,27.0,93612.65714940368
106,0.01,28.0,33.0,90578.71878183249
107,0.01,28.0,38.0,91041.55271096941
108,0.01,28.0,43.0,92671.82381733596
109,0.01,28.0,48.0,96907.1997272827
110,0.01,28.0,54.0,91162.23231829653
111,0.01,28.0,59.0,88973.90538689426
112,0.01,28.0,64.0,86334.32083309717
113,0.01,28.0,69.0,86236.24161778572
114,0.01,28.0,75.0,85924.38462024131
115,0.01,28.0,80.0,85414.36263882919
116,0.01,28.0,85.0,88962.09756398015
117,0.01,28.0,90.0,84045.86880099865
118,0.01,28.0,96.0,86817.65058270862
119,0.01,28.0,101.0,86601.49584671453
120,0.01,33.0,1.0,147408.61539311602
121,0.01,33.0,6.0,105211.19916201178
122,0.01,33.0,12.0,85123.58667383021
123,0.01,33.0,17.0,89902.21406917942
124,0.01,33.0,22.0,71630.46437663746
125,0.01,33.0,27.0,74553.16509532732
126,0.01,33.0,33.0,83851.75767540211
127,0.01,33.0,38.0,84695.53137212104
128,0.01,33.0,43.0,77558.04777809708
129,0.01,33.0,48.0,76083.71557661706
130,0.01,33.0,54.0,78543.07911103542
131,0.01,33.0,59.0,76617.22067202351
132,0.01,33.0,64.0,78337.89307772194
133,0.01,33.0,69.0,78497.3248367298
134,0.01,33.0,75.0,76122.72379485141
135,0.01,33.0,80.0,73915.37791165951
136,0.01,33.0,85.0,74541.70709316827
137,0.01,33.0,90.0,75065.12888455033
138,0.01,33.0,96.0,77855.294637202
139,0.01,33.0,101.0,77848.36403109807
140,0.01,38.0,1.0,157232.6713207462
141,0.01,38.0,6.0,81482.36204854393
142,0.01,38.0,12.0,83976.92169336113
143,0.01,38.0,17.0,73125.11658515231
144,0.01,38.0,22.0,73648.90042753813
145,0.01,38.0,27.0,72482.44997807703
146,0.01,38.0,33.0,75515.0777943741
147,0.01,38.0,38.0,68736.01540368971
148,0.01,38.0,43.0,71864.20185506213
149,0.01,38.0,48.0,75369.30345663721
150,0.01,38.0,54.0,74289.92949340981
151,0.01,38.0,59.0,67353.79736321988
152,0.01,38.0,64.0,72541.30583776659
153,0.01,38.0,69.0,68953.5859662838
154,0.01,38.0,75.0,64771.437197259875
155,0.01,38.0,80.0,72295.56652983333
