,Learning rates,Number of leaf nodes,Number of trees,MSE
124,0.01,33.0,22.0,1332855.9327441212
125,0.01,33.0,27.0,1243787.595757362
126,0.01,33.0,33.0,1139831.724582092
127,0.01,33.0,38.0,1061397.1945360503
128,0.01,33.0,43.0,988781.2156858995
129,0.01,33.0,48.0,926634.2075095782
130,0.01,33.0,54.0,854478.8372895767
131,0.01,33.0,59.0,798940.4433041803
132,0.01,33.0,64.0,748793.5801705642
133,0.01,33.0,69.0,701683.561775291
134,0.01,33.0,75.0,650773.4563685858
135,0.01,33.0,80.0,614452.0340184303
136,0.01,33.0,85.0,578998.339166078
137,0.01,33.0,90.0,548170.5940106161
138,0.01,33.0,96.0,513034.0588210481
139,0.01,33.0,101.0,488274.1322314823
140,0.01,38.0,1.0,1802026.9073922234
141,0.01,38.0,6.0,1674714.7484374957
142,0.01,38.0,12.0,1538257.0017102733
143,0.01,38.0,17.0,1431641.295552629
144,0.01,38.0,22.0,1332855.9327441212
145,0.01,38.0,27.0,1243787.595757362
146,0.01,38.0,33.0,1139831.724582092
147,0.01,38.0,38.0,1061397.1945360508
148,0.01,38.0,43.0,988781.2156858995
149,0.01,38.0,48.0,926634.2075095782
150,0.01,38.0,54.0,854478.8372895767
151,0.01,38.0,59.0,798940.4433041803
152,0.01,38.0,64.0,748793.5801705645
153,0.01,38.0,69.0,701683.5617752912
154,0.01,38.0,75.0,650773.456368586
155,0.01,38.0,80.0,614452.0340184303
156,0.01,38.0,85.0,578998.339166078
157,0.01,38.0,90.0,548170.5940106161
158,0.01,38.0,96.0,513034.0588210479
159,0.01,38.0,101.0,488274.13223148213
160,0.01,44.0,1.0,1802026.9073922234
161,0.01,44.0,6.0,1674714.7484374957
162,0.01,44.0,12.0,1538257.0017102733
163,0.01,44.0,17.0,1431641.295552629
164,0.01,44.0,22.0,1332855.9327441212
165,0.01,44.0,27.0,1243787.595757362
166,0.01,44.0,33.0,1139831.724582092
167,0.01,44.0,38.0,1061397.1945360503
168,0.01,44.0,43.0,988781.2156858997
169,0.01,44.0,48.0,926634.207509578
170,0.01,44.0,54.0,854478.8372895767
171,0.01,44.0,59.0,798940.4433041803
172,0.01,44.0,64.0,748793.5801705645
173,0.01,44.0,69.0,701683.561775291
174,0.01,44.0,75.0,650773.4563685858
175,0.01,44.0,80.0,614452.0340184304
176,0.01,44.0,85.0,578998.3391660781
177,0.01,44.0,90.0,548170.594010616
178,0.01,44.0,96.0,513034.05882104795
179,0.01,44.0,101.0,488274.13223148236
180,0.01,49.0,1.0,1802026.9073922234
181,0.01,49.0,6.0,1674714.7484374957
182,0.01,49.0,12.0,1538257.0017102733
183,0.01,49.0,17.0,1431641.295552629
184,0.01,49.0,22.0,1332855.9327441212
185,0.01,49.0,27.0,1243787.595757362
186,0.01,49.0,33.0,1139831.7245820917
187,0.01,49.0,38.0,1061397.1945360503
188,0.01,49.0,43.0,988781.2156858997
