,Learning rates,Number of leaf nodes,Number of trees,MSE
2012,0.2968421052631579,2.0,64.0,207495.00634255898
2013,0.2968421052631579,2.0,69.0,200585.05780957887
2014,0.2968421052631579,2.0,75.0,200081.79525733533
2015,0.2968421052631579,2.0,80.0,195706.0809510851
2016,0.2968421052631579,2.0,85.0,187172.92173012323
2017,0.2968421052631579,2.0,90.0,181651.2800313703
2018,0.2968421052631579,2.0,96.0,175101.62015816962
2019,0.2968421052631579,2.0,101.0,175060.25425884838
2020,0.2968421052631579,7.0,1.0,1155995.8373418667
2021,0.2968421052631579,7.0,6.0,211933.48815438288
2022,0.2968421052631579,7.0,12.0,82156.93497497564
2023,0.2968421052631579,7.0,17.0,53755.69446745434
2024,0.2968421052631579,7.0,22.0,42088.85118219299
2025,0.2968421052631579,7.0,27.0,37333.79812578621
2026,0.2968421052631579,7.0,33.0,33993.737032103345
2027,0.2968421052631579,7.0,38.0,31858.06604325561
2028,0.2968421052631579,7.0,43.0,30795.788089841753
2029,0.2968421052631579,7.0,48.0,29738.868780657736
2030,0.2968421052631579,7.0,54.0,28596.23581966806
2031,0.2968421052631579,7.0,59.0,28363.871906405315
2032,0.2968421052631579,7.0,64.0,27297.65089781265
2033,0.2968421052631579,7.0,69.0,27501.125598788007
2034,0.2968421052631579,7.0,75.0,26790.543082535365
2035,0.2968421052631579,7.0,80.0,26482.160352022904
2036,0.2968421052631579,7.0,85.0,25858.1648207343
2037,0.2968421052631579,7.0,90.0,25983.144283849568
2038,0.2968421052631579,7.0,96.0,25634.93531666158
2039,0.2968421052631579,7.0,101.0,25637.01553909448
2040,0.2968421052631579,12.0,1.0,1156114.7808150307
2041,0.2968421052631579,12.0,6.0,217893.97564605833
2042,0.2968421052631579,12.0,12.0,66118.41521027243
2043,0.2968421052631579,12.0,17.0,33879.450639341056
2044,0.2968421052631579,12.0,22.0,25332.519876758703
2045,0.2968421052631579,12.0,27.0,23165.71660285718
2046,0.2968421052631579,12.0,33.0,20584.70152652719
2047,0.2968421052631579,12.0,38.0,18740.721051804434
2048,0.2968421052631579,12.0,43.0,18266.705471231133
2049,0.2968421052631579,12.0,48.0,17710.146866211406
2050,0.2968421052631579,12.0,54.0,17094.355087965992
2051,0.2968421052631579,12.0,59.0,16837.226636181364
2052,0.2968421052631579,12.0,64.0,17228.987075602352
2053,0.2968421052631579,12.0,69.0,16941.220203569188
2054,0.2968421052631579,12.0,75.0,17086.46678098206
2055,0.2968421052631579,12.0,80.0,16719.606267411273
2056,0.2968421052631579,12.0,85.0,16788.488805659443
2057,0.2968421052631579,12.0,90.0,16330.111309494143
2058,0.2968421052631579,12.0,96.0,16212.380014010878
2059,0.2968421052631579,12.0,101.0,15846.437964089759
2060,0.2968421052631579,18.0,1.0,1156114.7808150307
2061,0.2968421052631579,18.0,6.0,217893.97564605836
2062,0.2968421052631579,18.0,12.0,66542.64326102688
2063,0.2968421052631579,18.0,17.0,33668.281207587774
2064,0.2968421052631579,18.0,22.0,25246.536840711608
2065,0.2968421052631579,18.0,27.0,23165.716602857177
2066,0.2968421052631579,18.0,33.0,20351.33521896339
2067,0.2968421052631579,18.0,38.0,18957.29268890057
2068,0.2968421052631579,18.0,43.0,18266.705471231147
2069,0.2968421052631579,18.0,48.0,18098.54763516889
2070,0.2968421052631579,18.0,54.0,17052.313332362814
2071,0.2968421052631579,18.0,59.0,16642.083443707295
2072,0.2968421052631579,18.0,64.0,17105.18703877178
2073,0.2968421052631579,18.0,69.0,16757.11867013569
2074,0.2968421052631579,18.0,75.0,16996.61050018212
2075,0.2968421052631579,18.0,80.0,17022.594686854063
2076,0.2968421052631579,18.0,85.0,16278.692187912513
2077,0.2968421052631579,18.0,90.0,16329.101095146389
2078,0.2968421052631579,18.0,96.0,15789.25319212408
2079,0.2968421052631579,18.0,101.0,16008.926043176314
2080,0.2968421052631579,23.0,1.0,1156114.7808150307
2081,0.2968421052631579,23.0,6.0,217893.97564605836
2082,0.2968421052631579,23.0,12.0,66118.41521027242
2083,0.2968421052631579,23.0,17.0,33879.45063934106
2084,0.2968421052631579,23.0,22.0,25332.519876758684
2085,0.2968421052631579,23.0,27.0,23165.716602857196
2086,0.2968421052631579,23.0,33.0,20334.575112667822
2087,0.2968421052631579,23.0,38.0,18728.28557793767
2088,0.2968421052631579,23.0,43.0,18411.328022299032
2089,0.2968421052631579,23.0,48.0,18111.35664549656
2090,0.2968421052631579,23.0,54.0,17364.039935341953
2091,0.2968421052631579,23.0,59.0,16650.26647815252
2092,0.2968421052631579,23.0,64.0,17116.943598812155
2093,0.2968421052631579,23.0,69.0,16917.31581396478
2094,0.2968421052631579,23.0,75.0,16922.93381105972
2095,0.2968421052631579,23.0,80.0,16942.483254259514
2096,0.2968421052631579,23.0,85.0,16677.092420351924
2097,0.2968421052631579,23.0,90.0,16267.793494130328
2098,0.2968421052631579,23.0,96.0,15903.324229745474
2099,0.2968421052631579,23.0,101.0,15967.908446100913
2100,0.2968421052631579,28.0,1.0,1156114.7808150304
2101,0.2968421052631579,28.0,6.0,217893.9756460584
2102,0.2968421052631579,28.0,12.0,66118.4152102724
2103,0.2968421052631579,28.0,17.0,33879.450639341056
2104,0.2968421052631579,28.0,22.0,25332.51987675869
2105,0.2968421052631579,28.0,27.0,23165.716602857185
2106,0.2968421052631579,28.0,33.0,20351.3352189634
2107,0.2968421052631579,28.0,38.0,18969.728162767336
2108,0.2968421052631579,28.0,43.0,18279.11864618524
2109,0.2968421052631579,28.0,48.0,18111.356645496577
2110,0.2968421052631579,28.0,54.0,17134.203985778346
2111,0.2968421052631579,28.0,59.0,16634.02333619487
2112,0.2968421052631579,28.0,64.0,16919.68714179177
2113,0.2968421052631579,28.0,69.0,17048.334749926024
2114,0.2968421052631579,28.0,75.0,17070.5778931641
2115,0.2968421052631579,28.0,80.0,16842.735872438305
2116,0.2968421052631579,28.0,85.0,16413.38690140439
2117,0.2968421052631579,28.0,90.0,16238.05071646961
2118,0.2968421052631579,28.0,96.0,15936.930877649407
2119,0.2968421052631579,28.0,101.0,15925.94455827454
2120,0.2968421052631579,33.0,1.0,1156114.7808150307
2121,0.2968421052631579,33.0,6.0,217893.97564605833
2122,0.2968421052631579,33.0,12.0,66118.4152102724
2123,0.2968421052631579,33.0,17.0,33668.28120758777
2124,0.2968421052631579,33.0,22.0,25332.51987675868
2125,0.2968421052631579,33.0,27.0,23389.719926356614
2126,0.2968421052631579,33.0,33.0,20584.701526527206
2127,0.2968421052631579,33.0,38.0,18728.285577937662
2128,0.2968421052631579,33.0,43.0,18423.74119725313
2129,0.2968421052631579,33.0,48.0,17999.262499814988
2130,0.2968421052631579,33.0,54.0,17351.248861174085
2131,0.2968421052631579,33.0,59.0,16837.22663618137
2132,0.2968421052631579,33.0,64.0,16941.601656418785
2133,0.2968421052631579,33.0,69.0,16875.65663947696
2134,0.2968421052631579,33.0,75.0,16956.334810772827
2135,0.2968421052631579,33.0,80.0,16985.540550484566
2136,0.2968421052631579,33.0,85.0,16360.300254900496
2137,0.2968421052631579,33.0,90.0,16378.38427628121
2138,0.2968421052631579,33.0,96.0,16097.891121060167
2139,0.2968421052631579,33.0,101.0,15771.873477029178
2140,0.2968421052631579,38.0,1.0,1156114.7808150307
2141,0.2968421052631579,38.0,6.0,217893.97564605833
2142,0.2968421052631579,38.0,12.0,66118.41521027242
2143,0.2968421052631579,38.0,17.0,33879.45063934104
2144,0.2968421052631579,38.0,22.0,25246.5368407116
2145,0.2968421052631579,38.0,27.0,23389.71992635664
2146,0.2968421052631579,38.0,33.0,20584.70152652721
2147,0.2968421052631579,38.0,38.0,18957.29268890056
2148,0.2968421052631579,38.0,43.0,18266.705471231155
2149,0.2968421052631579,38.0,48.0,17794.693505991072
2150,0.2968421052631579,38.0,54.0,17285.597898920096
2151,0.2968421052631579,38.0,59.0,16650.266478152524
2152,0.2968421052631579,38.0,64.0,17212.091137607036
2153,0.2968421052631579,38.0,69.0,16728.0646288045
2154,0.2968421052631579,38.0,75.0,16945.511259871862
2155,0.2968421052631579,38.0,80.0,17019.399796619662
2156,0.2968421052631579,38.0,85.0,16399.68464241766
2157,0.2968421052631579,38.0,90.0,16332.38660784247
2158,0.2968421052631579,38.0,96.0,16192.202409909829
2159,0.2968421052631579,38.0,101.0,16092.906486611335
2160,0.2968421052631579,44.0,1.0,1156114.7808150304
2161,0.2968421052631579,44.0,6.0,217893.97564605836
2162,0.2968421052631579,44.0,12.0,66542.64326102687
2163,0.2968421052631579,44.0,17.0,33668.281207587796
2164,0.2968421052631579,44.0,22.0,25246.536840711622
2165,0.2968421052631579,44.0,27.0,23389.71992635664
2166,0.2968421052631579,44.0,33.0,20567.94142023163
2167,0.2968421052631579,44.0,38.0,18957.292688900576
2168,0.2968421052631579,44.0,43.0,18266.70547123114
2169,0.2968421052631579,44.0,48.0,17946.068605975845
2170,0.2968421052631579,44.0,54.0,17321.99817973875
2171,0.2968421052631579,44.0,59.0,16606.7093769068
2172,0.2968421052631579,44.0,64.0,17255.78634452881
2173,0.2968421052631579,44.0,69.0,16979.015444230863
2174,0.2968421052631579,44.0,75.0,17166.58928385414
2175,0.2968421052631579,44.0,80.0,16706.332290793933
2176,0.2968421052631579,44.0,85.0,16365.428380869658
2177,0.2968421052631579,44.0,90.0,16500.40583500792
2178,0.2968421052631579,44.0,96.0,16133.676832450416
2179,0.2968421052631579,44.0,101.0,16174.784987722409
2180,0.2968421052631579,49.0,1.0,1156114.7808150307
2181,0.2968421052631579,49.0,6.0,217893.97564605836
2182,0.2968421052631579,49.0,12.0,66118.4152102724
2183,0.2968421052631579,49.0,17.0,33668.281207587796
2184,0.2968421052631579,49.0,22.0,25332.519876758688
2185,0.2968421052631579,49.0,27.0,23165.71660285719
2186,0.2968421052631579,49.0,33.0,20567.941420231626
2187,0.2968421052631579,49.0,38.0,18969.728162767336
2188,0.2968421052631579,49.0,43.0,18411.32802229905
2189,0.2968421052631579,49.0,48.0,17807.50251631875
2190,0.2968421052631579,49.0,54.0,17159.58200672008
2191,0.2968421052631579,49.0,59.0,16642.083443707295
2192,0.2968421052631579,49.0,64.0,16962.459556852602
2193,0.2968421052631579,49.0,69.0,17052.19868375221
2194,0.2968421052631579,49.0,75.0,17306.986590203072
2195,0.2968421052631579,49.0,80.0,16921.9889300054
2196,0.2968421052631579,49.0,85.0,16631.379914113822
2197,0.2968421052631579,49.0,90.0,16458.043115168988
2198,0.2968421052631579,49.0,96.0,15853.077040849028
2199,0.2968421052631579,49.0,101.0,15867.004199136598
2200,0.2968421052631579,54.0,1.0,1156114.7808150304
2201,0.2968421052631579,54.0,6.0,217893.97564605833
2202,0.2968421052631579,54.0,12.0,66542.64326102691
2203,0.2968421052631579,54.0,17.0,33879.450639341056
2204,0.2968421052631579,54.0,22.0,25332.5198767587
2205,0.2968421052631579,54.0,27.0,23389.719926356636
2206,0.2968421052631579,54.0,33.0,20334.575112667815
2207,0.2968421052631579,54.0,38.0,18728.285577937673
2208,0.2968421052631579,54.0,43.0,18423.741197253115
2209,0.2968421052631579,54.0,48.0,18058.162751657434
2210,0.2968421052631579,54.0,54.0,17230.765069149038
2211,0.2968421052631579,54.0,59.0,16829.043601736154
2212,0.2968421052631579,54.0,64.0,17159.624058372094
2213,0.2968421052631579,54.0,69.0,16693.585076079293
2214,0.2968421052631579,54.0,75.0,16872.953833643944
2215,0.2968421052631579,54.0,80.0,16608.913598333722
2216,0.2968421052631579,54.0,85.0,16480.01986269408
2217,0.2968421052631579,54.0,90.0,16440.284450233296
2218,0.2968421052631579,54.0,96.0,16055.388719890949
2219,0.2968421052631579,54.0,101.0,15912.732318763909
2220,0.2968421052631579,59.0,1.0,1156114.7808150307
2221,0.2968421052631579,59.0,6.0,217893.97564605833
2222,0.2968421052631579,59.0,12.0,66542.64326102687
2223,0.2968421052631579,59.0,17.0,33879.45063934104
2224,0.2968421052631579,59.0,22.0,25246.536840711604
2225,0.2968421052631579,59.0,27.0,23165.716602857185
2226,0.2968421052631579,59.0,33.0,20584.701526527202
2227,0.2968421052631579,59.0,38.0,18957.292688900554
2228,0.2968421052631579,59.0,43.0,18279.118646185252
2229,0.2968421052631579,59.0,48.0,18070.97176198513
2230,0.2968421052631579,59.0,54.0,17230.76506914904
2231,0.2968421052631579,59.0,59.0,16916.118143394073
2232,0.2968421052631579,59.0,64.0,17228.98707560236
2233,0.2968421052631579,59.0,69.0,16952.61895339845
2234,0.2968421052631579,59.0,75.0,16864.731274797647
2235,0.2968421052631579,59.0,80.0,16663.2991988156
2236,0.2968421052631579,59.0,85.0,16320.775558522422
2237,0.2968421052631579,59.0,90.0,16611.829047836345
2238,0.2968421052631579,59.0,96.0,15896.375878954324
2239,0.2968421052631579,59.0,101.0,15795.116597198217
2240,0.2968421052631579,65.0,1.0,1156114.7808150307
2241,0.2968421052631579,65.0,6.0,217893.97564605833
2242,0.2968421052631579,65.0,12.0,66118.41521027242
2243,0.2968421052631579,65.0,17.0,33879.45063934106
2244,0.2968421052631579,65.0,22.0,25332.51987675869
2245,0.2968421052631579,65.0,27.0,23389.719926356625
2246,0.2968421052631579,65.0,33.0,20567.94142023163
2247,0.2968421052631579,65.0,38.0,18969.728162767336
2248,0.2968421052631579,65.0,43.0,18423.74119725312
2249,0.2968421052631579,65.0,48.0,17763.34076005056
2250,0.2968421052631579,65.0,54.0,17146.79093255224
2251,0.2968421052631579,65.0,59.0,16572.902083415407
2252,0.2968421052631579,65.0,64.0,17229.062550586143
2253,0.2968421052631579,65.0,69.0,16799.601431331994
2254,0.2968421052631579,65.0,75.0,17183.25366931517
2255,0.2968421052631579,65.0,80.0,16796.969088613994
2256,0.2968421052631579,65.0,85.0,16631.37991411381
2257,0.2968421052631579,65.0,90.0,16322.057282955922
2258,0.2968421052631579,65.0,96.0,15936.596301940368
2259,0.2968421052631579,65.0,101.0,16148.021216738978
2260,0.2968421052631579,70.0,1.0,1156114.7808150307
2261,0.2968421052631579,70.0,6.0,217893.9756460584
2262,0.2968421052631579,70.0,12.0,66542.64326102691
2263,0.2968421052631579,70.0,17.0,33879.45063934104
2264,0.2968421052631579,70.0,22.0,25246.53684071162
2265,0.2968421052631579,70.0,27.0,23165.716602857196
2266,0.2968421052631579,70.0,33.0,20351.33521896339
2267,0.2968421052631579,70.0,38.0,18957.29268890056
2268,0.2968421052631579,70.0,43.0,18411.328022299036
2269,0.2968421052631579,70.0,48.0,17710.146866211406
2270,0.2968421052631579,70.0,54.0,17364.03993534195
2271,0.2968421052631579,70.0,59.0,16614.892411351993
2272,0.2968421052631579,70.0,64.0,17212.091137607036
2273,0.2968421052631579,70.0,69.0,16692.761489370838
2274,0.2968421052631579,70.0,75.0,17226.3640616159
2275,0.2968421052631579,70.0,80.0,16939.00172153062
2276,0.2968421052631579,70.0,85.0,16319.922568926593
2277,0.2968421052631579,70.0,90.0,16306.997713016275
2278,0.2968421052631579,70.0,96.0,16026.012355513742
2279,0.2968421052631579,70.0,101.0,16107.728124970863
2280,0.2968421052631579,75.0,1.0,1156114.7808150307
2281,0.2968421052631579,75.0,6.0,217893.97564605833
2282,0.2968421052631579,75.0,12.0,66542.64326102691
2283,0.2968421052631579,75.0,17.0,33668.28120758777
2284,0.2968421052631579,75.0,22.0,25332.519876758688
2285,0.2968421052631579,75.0,27.0,23389.719926356636
2286,0.2968421052631579,75.0,33.0,20334.57511266783
2287,0.2968421052631579,75.0,38.0,18969.728162767336
2288,0.2968421052631579,75.0,43.0,18279.118646185227
2289,0.2968421052631579,75.0,48.0,18111.35664549658
2290,0.2968421052631579,75.0,54.0,17243.5561433169
2291,0.2968421052631579,75.0,59.0,16564.71904897021
2292,0.2968421052631579,75.0,64.0,17186.36433283182
2293,0.2968421052631579,75.0,69.0,16914.740988101395
2294,0.2968421052631579,75.0,75.0,16925.2265631516
2295,0.2968421052631579,75.0,80.0,16598.26598989794
2296,0.2968421052631579,75.0,85.0,16692.412588565134
2297,0.2968421052631579,75.0,90.0,16273.554772216872
2298,0.2968421052631579,75.0,96.0,16118.858323094459
2299,0.2968421052631579,75.0,101.0,15855.018967676036
2300,0.2968421052631579,80.0,1.0,1156114.7808150307
2301,0.2968421052631579,80.0,6.0,217893.97564605833
2302,0.2968421052631579,80.0,12.0,66118.41521027239
2303,0.2968421052631579,80.0,17.0,33879.45063934107
2304,0.2968421052631579,80.0,22.0,25246.5368407116
2305,0.2968421052631579,80.0,27.0,23389.71992635663
2306,0.2968421052631579,80.0,33.0,20567.941420231633
2307,0.2968421052631579,80.0,38.0,18957.29268890057
2308,0.2968421052631579,80.0,43.0,18279.11864618524
2309,0.2968421052631579,80.0,48.0,18098.547635168885
2310,0.2968421052631579,80.0,54.0,17121.412911610492
2311,0.2968421052631579,80.0,59.0,16614.769484419245
2312,0.2968421052631579,80.0,64.0,16959.014812651963
2313,0.2968421052631579,80.0,69.0,16987.458706368445
2314,0.2968421052631579,80.0,75.0,17174.921389102423
2315,0.2968421052631579,80.0,80.0,16858.898114781998
2316,0.2968421052631579,80.0,85.0,16630.88634831865
2317,0.2968421052631579,80.0,90.0,16609.54953797699
2318,0.2968421052631579,80.0,96.0,15877.073435277545
2319,0.2968421052631579,80.0,101.0,15837.182709489538
2320,0.2968421052631579,85.0,1.0,1156114.7808150307
2321,0.2968421052631579,85.0,6.0,217893.97564605833
2322,0.2968421052631579,85.0,12.0,66542.64326102691
2323,0.2968421052631579,85.0,17.0,33668.28120758778
2324,0.2968421052631579,85.0,22.0,25332.519876758688
2325,0.2968421052631579,85.0,27.0,23165.71660285719
2326,0.2968421052631579,85.0,33.0,20584.701526527188
2327,0.2968421052631579,85.0,38.0,18728.285577937662
2328,0.2968421052631579,85.0,43.0,18279.118646185234
2329,0.2968421052631579,85.0,48.0,17946.068605975837
2330,0.2968421052631579,85.0,54.0,17121.4129116105
2331,0.2968421052631579,85.0,59.0,16759.73931451152
2332,0.2968421052631579,85.0,64.0,17251.41880846721
2333,0.2968421052631579,85.0,69.0,16913.53460477402
2334,0.2968421052631579,85.0,75.0,17174.921389102416
2335,0.2968421052631579,85.0,80.0,16878.95254799725
2336,0.2968421052631579,85.0,85.0,16586.07682548318
2337,0.2968421052631579,85.0,90.0,16425.42286441229
2338,0.2968421052631579,85.0,96.0,16070.113928993896
2339,0.2968421052631579,85.0,101.0,16208.940886932773
2340,0.2968421052631579,91.0,1.0,1156114.7808150304
2341,0.2968421052631579,91.0,6.0,217893.97564605833
2342,0.2968421052631579,91.0,12.0,66542.64326102691
2343,0.2968421052631579,91.0,17.0,33668.281207587796
2344,0.2968421052631579,91.0,22.0,25332.5198767587
2345,0.2968421052631579,91.0,27.0,23389.71992635663
2346,0.2968421052631579,91.0,33.0,20584.701526527202
2347,0.2968421052631579,91.0,38.0,18969.728162767322
2348,0.2968421052631579,91.0,43.0,18279.118646185245
2349,0.2968421052631579,91.0,48.0,17767.117632807305
2350,0.2968421052631579,91.0,54.0,17334.58512651263
2351,0.2968421052631579,91.0,59.0,16650.266478152524
2352,0.2968421052631579,91.0,64.0,16985.797601061273
2353,0.2968421052631579,91.0,69.0,16750.842872357953
2354,0.2968421052631579,91.0,75.0,17226.3640616159
2355,0.2968421052631579,91.0,80.0,16656.650838243637
2356,0.2968421052631579,91.0,85.0,16580.897173008765
2357,0.2968421052631579,91.0,90.0,16346.17687242422
2358,0.2968421052631579,91.0,96.0,16021.806517282846
2359,0.2968421052631579,91.0,101.0,15826.636428254693
2360,0.2968421052631579,96.0,1.0,1156114.7808150307
2361,0.2968421052631579,96.0,6.0,217893.97564605833
2362,0.2968421052631579,96.0,12.0,66542.64326102688
2363,0.2968421052631579,96.0,17.0,33879.45063934107
2364,0.2968421052631579,96.0,22.0,25246.536840711608
2365,0.2968421052631579,96.0,27.0,23165.716602857185
2366,0.2968421052631579,96.0,33.0,20334.575112667822
2367,0.2968421052631579,96.0,38.0,18957.292688900554
2368,0.2968421052631579,96.0,43.0,18423.74119725313
2369,0.2968421052631579,96.0,48.0,17946.068605975845
2370,0.2968421052631579,96.0,54.0,17347.37620068047
2371,0.2968421052631579,96.0,59.0,16865.944781012273
2372,0.2968421052631579,96.0,64.0,16962.38408186881
2373,0.2968421052631579,96.0,69.0,16685.36203290112
2374,0.2968421052631579,96.0,75.0,17099.36062065869
2375,0.2968421052631579,96.0,80.0,16765.811504232195
2376,0.2968421052631579,96.0,85.0,16631.26219641517
2377,0.2968421052631579,96.0,90.0,16593.269695381117
2378,0.2968421052631579,96.0,96.0,15789.998545336597
2379,0.2968421052631579,96.0,101.0,15957.97626447936
2380,0.2968421052631579,101.0,1.0,1156114.7808150307
2381,0.2968421052631579,101.0,6.0,217893.9756460584
2382,0.2968421052631579,101.0,12.0,66118.41521027245
2383,0.2968421052631579,101.0,17.0,33668.28120758777
2384,0.2968421052631579,101.0,22.0,25332.519876758684
2385,0.2968421052631579,101.0,27.0,23165.71660285719
2386,0.2968421052631579,101.0,33.0,20567.941420231633
2387,0.2968421052631579,101.0,38.0,18728.285577937666
2388,0.2968421052631579,101.0,43.0,18266.705471231133
2389,0.2968421052631579,101.0,48.0,17754.308622479617
2390,0.2968421052631579,101.0,54.0,17218.178122375168
2391,0.2968421052631579,101.0,59.0,16901.441774745555
2392,0.2968421052631579,101.0,64.0,17181.99807444753
2393,0.2968421052631579,101.0,69.0,16716.665878975207
2394,0.2968421052631579,101.0,75.0,17127.0831570959
2395,0.2968421052631579,101.0,80.0,16669.97562177892
2396,0.2968421052631579,101.0,85.0,16675.86978759543
2397,0.2968421052631579,101.0,90.0,16276.344208036759
2398,0.2968421052631579,101.0,96.0,15827.233274155726
2399,0.2968421052631579,101.0,101.0,16142.60586239591
2400,0.35421052631578953,2.0,1.0,1409482.5805737376
2401,0.35421052631578953,2.0,6.0,715430.0076467923
2402,0.35421052631578953,2.0,12.0,514577.2498696883
2403,0.35421052631578953,2.0,17.0,372675.13753544824
2404,0.35421052631578953,2.0,22.0,303027.37244720006
2405,0.35421052631578953,2.0,27.0,269534.9680325285
2406,0.35421052631578953,2.0,33.0,250777.25048265653
2407,0.35421052631578953,2.0,38.0,252718.75445213268
2408,0.35421052631578953,2.0,43.0,236107.5307049906
2409,0.35421052631578953,2.0,48.0,233587.79407322354
2410,0.35421052631578953,2.0,54.0,212739.90621424184
2411,0.35421052631578953,2.0,59.0,207708.58190036213
2412,0.35421052631578953,2.0,64.0,195483.31599873127
2413,0.35421052631578953,2.0,69.0,189368.52315165775
2414,0.35421052631578953,2.0,75.0,178627.7518515744
2415,0.35421052631578953,2.0,80.0,178644.59838731514
2416,0.35421052631578953,2.0,85.0,172132.053837575
2417,0.35421052631578953,2.0,90.0,170220.3005435283
2418,0.35421052631578953,2.0,96.0,165720.0843818861
2419,0.35421052631578953,2.0,101.0,165277.34779525906
2420,0.35421052631578953,7.0,1.0,1055205.322607306
2421,0.35421052631578953,7.0,6.0,179305.9576051644
2422,0.35421052631578953,7.0,12.0,69718.03702141329
2423,0.35421052631578953,7.0,17.0,50842.120505943676
2424,0.35421052631578953,7.0,22.0,42650.02291177626
2425,0.35421052631578953,7.0,27.0,37996.23565591951
2426,0.35421052631578953,7.0,33.0,36637.84923734434
2427,0.35421052631578953,7.0,38.0,35082.430125806255
2428,0.35421052631578953,7.0,43.0,33915.947270027114
2429,0.35421052631578953,7.0,48.0,33297.26615659869
2430,0.35421052631578953,7.0,54.0,32705.912812753275
2431,0.35421052631578953,7.0,59.0,32499.236092751486
2432,0.35421052631578953,7.0,64.0,31449.933080801307
2433,0.35421052631578953,7.0,69.0,32456.669869283643
2434,0.35421052631578953,7.0,75.0,30660.05362159435
2435,0.35421052631578953,7.0,80.0,30546.342794340624
2436,0.35421052631578953,7.0,85.0,31428.829785440932
2437,0.35421052631578953,7.0,90.0,29824.25984052573
2438,0.35421052631578953,7.0,96.0,29898.74271355917
2439,0.35421052631578953,7.0,101.0,30661.06316980044
2440,0.35421052631578953,12.0,1.0,1054931.7073500156
2441,0.35421052631578953,12.0,6.0,148647.65733571004
2442,0.35421052631578953,12.0,12.0,70316.34459938416
2443,0.35421052631578953,12.0,17.0,56330.61452594444
2444,0.35421052631578953,12.0,22.0,47725.4801208568
2445,0.35421052631578953,12.0,27.0,44711.49720437101
2446,0.35421052631578953,12.0,33.0,41704.59152176662
2447,0.35421052631578953,12.0,38.0,40876.777654623715
2448,0.35421052631578953,12.0,43.0,39466.97921462452
2449,0.35421052631578953,12.0,48.0,38543.23588748725
2450,0.35421052631578953,12.0,54.0,37346.98765706186
2451,0.35421052631578953,12.0,59.0,36131.20020286508
2452,0.35421052631578953,12.0,64.0,36168.85727603318
2453,0.35421052631578953,12.0,69.0,34660.47364580191
2454,0.35421052631578953,12.0,75.0,34068.03074890367
2455,0.35421052631578953,12.0,80.0,33456.540928102324
2456,0.35421052631578953,12.0,85.0,33586.79928139916
2457,0.35421052631578953,12.0,90.0,33221.88642791155
2458,0.35421052631578953,12.0,96.0,33310.42524405941
2459,0.35421052631578953,12.0,101.0,33834.18351991252
2460,0.35421052631578953,18.0,1.0,1054931.7073500159
2461,0.35421052631578953,18.0,6.0,148647.6573357101
2462,0.35421052631578953,18.0,12.0,70316.34459938419
2463,0.35421052631578953,18.0,17.0,56501.075797748046
2464,0.35421052631578953,18.0,22.0,47603.62747086488
2465,0.35421052631578953,18.0,27.0,44795.54078245456
2466,0.35421052631578953,18.0,33.0,41788.07381507096
2467,0.35421052631578953,18.0,38.0,40876.77765462373
2468,0.35421052631578953,18.0,43.0,39466.97921462454
2469,0.35421052631578953,18.0,48.0,38548.847674186785
2470,0.35421052631578953,18.0,54.0,37346.98765706186
2471,0.35421052631578953,18.0,59.0,36168.614242420255
2472,0.35421052631578953,18.0,64.0,36205.96221748814
2473,0.35421052631578953,18.0,69.0,34626.61724996083
2474,0.35421052631578953,18.0,75.0,34071.660113618236
2475,0.35421052631578953,18.0,80.0,33984.42224999274
2476,0.35421052631578953,18.0,85.0,34148.40003859286
2477,0.35421052631578953,18.0,90.0,33789.95378815737
2478,0.35421052631578953,18.0,96.0,33310.42524405941
2479,0.35421052631578953,18.0,101.0,33831.98857954378
2480,0.35421052631578953,23.0,1.0,1054931.7073500159
2481,0.35421052631578953,23.0,6.0,148647.65733571004
2482,0.35421052631578953,23.0,12.0,70316.34459938417
2483,0.35421052631578953,23.0,17.0,56501.075797748046
2484,0.35421052631578953,23.0,22.0,47603.62747086488
2485,0.35421052631578953,23.0,27.0,44795.54078245457
2486,0.35421052631578953,23.0,33.0,41788.07381507096
2487,0.35421052631578953,23.0,38.0,40876.777654623744
2488,0.35421052631578953,23.0,43.0,39519.995875002736
2489,0.35421052631578953,23.0,48.0,38601.901665995625
2490,0.35421052631578953,23.0,54.0,36702.9440714884
2491,0.35421052631578953,23.0,59.0,36168.614242420255
2492,0.35421052631578953,23.0,64.0,36212.37824749328
2493,0.35421052631578953,23.0,69.0,35181.89716912192
2494,0.35421052631578953,23.0,75.0,34631.20948699898
2495,0.35421052631578953,23.0,80.0,34022.88120211427
2496,0.35421052631578953,23.0,85.0,33550.17043220048
2497,0.35421052631578953,23.0,90.0,33223.60040041816
2498,0.35421052631578953,23.0,96.0,33310.4252440594
2499,0.35421052631578953,23.0,101.0,33804.41478854053
2500,0.35421052631578953,28.0,1.0,1054931.7073500156
2501,0.35421052631578953,28.0,6.0,148647.65733571004
2502,0.35421052631578953,28.0,12.0,70316.34459938419
2503,0.35421052631578953,28.0,17.0,56501.075797748046
2504,0.35421052631578953,28.0,22.0,47603.62747086486
2505,0.35421052631578953,28.0,27.0,44711.49720437101
2506,0.35421052631578953,28.0,33.0,41788.073815070944
2507,0.35421052631578953,28.0,38.0,40815.62051902783
2508,0.35421052631578953,28.0,43.0,39526.12999958691
2509,0.35421052631578953,28.0,48.0,38543.23588748728
